features.type,features.geometry,features.properties.NAME,features.properties.REFERENCE,features.properties.ASSETTYPE,features.properties.ASSETLOCATION,features.properties.CNTR_X,features.properties.CNTR_Y,lacd
"Feature","","Branch Road Culvert","0061/94","Complex Culvert","Stainland",406801.009,420054.945,"E08000033"
"Feature","","Workhouse Farm culvert","0192/4","Complex Culvert","Colden - Edge Lane",394706.995,429607.952,"E08000033"
"Feature","","Lowerlane culvert","0261/40","Complex Culvert","Blackshaw Head",394864.003,427225.951,"E08000033"
"Feature","","Rossendale culvert","0709/47","Complex Culvert","Mankinholes",396273.03,423884.98,"E08000033"
"Feature","","Withens clough Dropshaft","0881/20","Complex Culvert","Cragg Vale",398540.025,423174.968,"E08000033"
"Feature","","Withens clough culvert","0881/19","Complex Culvert","Cragg Vale",398610.001,423175.948,"E08000033"
"Feature","","Lynton Grove Culvert","0781/13","Complex Culvert","Halifax",407933.955,430039.042,"E08000033"
"Feature","","Crow Wood lane penstock","0250/5","Complex Culvert","Stainland",406756.024,418828.052,"E08000033"
"Feature","","Rudd Lane Culvert","0880/7","Complex Culvert","Cragg Vale",399689,423160.951,"E08000033"
"Feature","","Lower Road Culvert","0493/5","Complex Culvert","Rishworth",405072.016,417037.997,"E08000033"
"Feature","","Springs culvert 1","0753/1","Complex Culvert","Clough Foot",390858.982,424325.039,"E08000033"
"Feature","","Sourhall road culvert 2","0525/11","Complex Culvert","Clough Foot",391561.003,424211.002,"E08000033"
"Feature","","Staups lane culvert no 1","0763/7","Complex Culvert","Blackshaw Head",396032.963,426703.968,"E08000033"
"Feature","","Staups lane culvert no 2","0763/10","Complex Culvert","Blackshaw Head",396027.99,426750.033,"E08000033"
"Feature","","Staups lane culvert no 3","0763/46","Complex Culvert","Blackshaw Head",396020.013,426831.038,"E08000033"
"Feature","","Goit side culvert","0503/91","Complex Culvert","",,,"E08000033"
"Feature","","Lumb lane culvert no 3","81143","Complex Culvert","Wainstalls",404502.984,429775.987,"E08000033"
"Feature","","Springs culvert no 3","0753/5","Complex Culvert","Clough Foot",390830.986,424584.003,"E08000033"
"Feature","","Springs culvert no 2","0753/4","Complex Culvert","Clough Foot",390847.98,424500.967,"E08000033"
"Feature","","Stainland Dean Culvert","0061/238","Complex Culvert","Sowood",406339.001,418334.949,"E08000033"
"Feature","","Stainland Road Culvert","0061/118","Complex Culvert","Barkisland",406545.041,419713.031,"E08000033"
"Feature","","Lynton Grove culvert no 2","0781/9","Complex Culvert","Halifax",407876.953,430067.986,"E08000033"
"Feature","","Raw Lane Culvert 2","0836/5","Complex Culvert","Mytholmroyd",401375.98,426876.042,"E08000033"
"Feature","","School land lane culvert","0226/6","Complex Culvert","Colden",395373.011,429058.963,"E08000033"
"Feature","","Sourhall road culvert","0009/11","Complex Culvert","Clough Foot",390926.01,423843.03,"E08000033"
"Feature","","Hollin Hey Farm Footbridge","82628","Complex Culvert","Sowood",405831.009,417519.027,"E08000033"
"Feature","","Lower Hey Farm Culvert/screen","0372/9","Complex Culvert","Rishworth",405167.014,417154.026,"E08000033"
"Feature","","Lower hey farm culvert","0493/1","Complex Culvert","Rishworth",405367.038,417028.964,"E08000033"
"Feature","","Whinney hill park bridge","0414/14","Complex Culvert","Brighouse",414486.995,424519.03,"E08000033"
"Feature","","Timber Footbridge","0222/8","Complex Culvert","Hebden Bridge",397133.643,426821.623,"E08000033"
"Feature","","Culvert under track","0586/6","Complex Culvert","Hebden Bridge",397256.018,426091.008,"E08000033"
"Feature","","Dry Carr Lane Culvert","0252/5","Complex Culvert","Booth",403176.749,427887.56,"E08000033"
"Feature","","Roger Gate Culvert","0785/16","Complex Culvert","Mytholmroyd",400435.787,426369.431,"E08000033"
"Feature","","Rud lane Culvert 4","0686/13","Complex Culvert","Cragg Vale",399231.026,423332.004,"E08000033"
"Feature","","Withens Lane Culvert","0686/2","Complex Culvert","Cragg Vale",399032.99,423612.961,"E08000033"
"Feature","","Clifton Common Culvert","0188/3","Complex Culvert","Brighouse",415150.98,422926.985,"E08000033"
"Feature","","Grey Stone Lane Culvert","0337/5","Complex Culvert","Upper Eastwood",395954.732,425958.487,"E08000033"
"Feature","","Pennine Way culvert 1","0044/18","Complex Culvert","Hebden Bridge",398011.028,426093.064,"E08000033"
"Feature","","Culvert under track","0587/3","Complex Culvert","Hebden Bridge",397229.971,426007.022,"E08000033"
"Feature","","Broadhead Clough Culvert 2","0115/1","Complex Culvert","Mytholmroyd",400044.017,425023.956,"E08000033"
"Feature","","Pennine Way culvert 2","0141/1","Complex Culvert","Hebden Bridge",397593.006,426436.059,"E08000033"
"Feature","","Lane Head Lane Bridge","0358/68","Complex Culvert","Brookhouse",406264.997,429943.986,"E08000033"
"Feature","","Dry Carr Lane Culvert 2","0252/5","Complex Culvert","Booth - Dry Carr Lane up from Clough Lane",403190.875,427868.099,"E08000033"
"Feature","","Culvert under track","0625/15","Complex Culvert","Hebden Bridge",396995.003,425580.041,"E08000033"
"Feature","","Redacre Wood Culvert","0387/8","Complex Culvert","Mytholmroyd",400880.718,426570.528,"E08000033"
"Feature","","Warland clay pipe culvert","0201/3","Complex Culvert","Warland",394878.234,420186.747,"E08000033"
"Feature","","Winters Lane Culvert 2","0222/22","Complex Culvert","Hebden Bridge",397067.865,427005.135,"E08000033"
"Feature","","Broad Head End Culvert","0115/2","Complex Culvert","Mytholmroyd",400057.018,425063.008,"E08000033"
"Feature","","Saville Road Culvert","0538/19","Complex Culvert","Hebden Bridge",398165.555,427386.727,"E08000033"
"Feature","","Culvert by Leewood Road","0420/4","Complex Culvert","Hebdend Bridge - Leewood Road",399015.0305,428334.95,"E08000033"
"Feature","","Cragg Road Culvert 2","0272/1","Complex Culvert","Cragg Vale",400815.999,424630.038,"E08000033"
"Feature","","Lower mill lane culvert","0630/1","Complex Culvert","Midgehole",399133.572,428866.511,"E08000033"
